,address,comment,id_res,id_user,latitude,longitude,name_res,rating,username,label
360,"932 Ung Văn Khiêm, P, Đông Xuyên,Tp. Long Xuyên, An Giang","- Vô ngồi 10 phút ko nhân viên nào lại hỏi
- Mình tới quán để dc phục vụ nên ko muốn phải chủ động hỏi ai cái gì
- Vừa viết xong thì có nhân viên đi ngang tiện hỏi 1 câu nhưng mình đã ko muốn ăn nữa
- Ra về và thân chào ko hẹn gặp lại dù trước đây từng ủng hộ quán rất nhiều
- Chủ quán có thể kiểm chứng camera từ 16:22 đến 16:35 ngày 20/01",770068,maivosonnguyen1348,10.372852655942099,105.43423442275379,Bún Chả Lam Mập 2,2.6,Sơn Nguyên Mai Võ,0
369,"553 Võ Thị Sáu, P. Mỹ Xuyên,Tp. Long Xuyên, An Giang","Lần đầu cũng như lần cuối.
vì về sớm nên mình kiếm đâu đó aen.ghé thữ quán.
cứ nghĩ là ok lắm vì rất bỏ công vào trang trí.hai vợ chồng gọi một mì tương đen, bánh gạo và bánh cá.
vì đã từng ăn rồi ở các chổ khác nên cũng an tâm vì ít ra cũng không có món nào lạ đến độ mình không ăn được nhưng. bánh gạo cay lạt đến độ mình không biết nó là vị gì luôn không gia vị thêm bột ớt vào ...cứ như thảm họa.
mì tương đen --> đừng bao giờ ăn..còn thua mì gói mà xịt nước tương nữa nó kì zữ lắm @@. ở chổ khác ngta làm rất ngon không biết sao vậy luôn.",108542,lanphuong.angel,10.3755976,105.4370969,Misu Quán - Võ Thị Sáu,2.6,Shine AngEl,0
400,"7H Lê Lợi, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Nghe người quen giới thiệu nói quán có hải sản ngon, vậy mà khi ghé vào thì trái ngược, tôm nướng bóc ra đầu bị xanh thì nhân viên nói chắc tại nướng khét, hỏi khét sao lại vậy thì lại trả lời chắc rong bám rồi lại nói không biết, còn tỏ thái độ khinh thường khách, làm như mình không có tiền trả vậy, mấy món khác thì làm quá dở, nhân viên thì cứ đứng xầm xịt chỉ chỉ trỏ trỏ khách, giá tôm tư vấn khách 450k, mà tính tiền 480k, còn nói do khách lầm, lúc xin thêm nước lẩu thì đi 8 năm chưa thấy quay lại, khi quay lại thì nói tính thêm tiền, ban đầu nói tính tiền thì mình vẫn đồng ý, đằng này đi cho đã quay lại nói, rồi mình nói k cần nữa thì mới múc lên thêm, sau đó nhân viên lại tiếp tục xầm xịt và cười chỉ trỏ
Nói chung thái độ phục vụ quá kém, coi thường khách hàng, đồ ăn thì không ngon, không bao giờ quay lại quán này hay giới thiệu cho ai khác",26514,nguyenhongngan135,10.706575,105.128045,Phượng Quán,1.0,ngân ken ú,0
401,"7H Lê Lợi, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Là dân địa phương, thường xuyên ăn ở đây, ngày xưa quán bán ngon, giá hợp lý. Bây giờ khách đông, quán mở rộng mà chất lượng quá tệ, các loại hải sản toàn ướp đá ko tươi, thái độ nhân viên thì khinh khỉnh khó chịu. nói chung là thất vọng sẽ không ăn ở quán này nữa.",26514,huyphuong1187,10.706575,105.128045,Phượng Quán,2.8,Huy Phương,0
405,"7H Lê Lợi, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","1. Ghẹ ốp k thịt lại còn chết mình đi mấy lần k ăn được. 
2. Giá cao hơn các quán khác
3. Phục vụ chậm
4. Món sò huyết mình ăn sống được nhưng ở đây xào nóng vỏ sò còn thịt hoàn toàn sống k mở được vỏ, mở xong ăn vị chua ái lý do sò còn quá sống.",26514,danghuynhmaitrang,10.706575,105.128045,Phượng Quán,3.2, Mai Trang,0
408,"7H Lê Lợi, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Nếu đã đến ăn rồi thì không nên đến nữa và chưa đến thì khuyên bạn đừng đến.
1. Đồ ăn không ngon mà cứ ùa lên như là chưa đừng được bán
2. Ăn uống không ngon mà đồ ăn có nguồn nguyên liệu củng không chất lượng. ( cá mú tươi sống gì mà ăn thua cá ướp đá ở sg)
3. Thái độ phục vụ rất kém
4. Viết hoá đơn thì phải trả tiền riêng thêm 5% ( chả hiểu cái quy định đó từ đâu)

Nói chung chia tay sớm bớt đau khổ.",26514,doankd6772,10.706575,105.128045,Phượng Quán,2.2,Quynh Anh Nguyen Bao,0
411,"176 Thủ Khoa Huân,Thành Phố Châu Đốc, An Giang","Đứng chờ hơi lâu để mua được ly trà sữa. Trà sữa thì quá ngọt nhưng trân châu rất thơm, mình thấy nhân viên làm việc rất thiếu chuyên nghiệp từ việc ord đến khâu thanh toán. Không gian thì ok, sạch là được. Mình nghĩ thêm khâu tỷ lệ đường, đá theo ý khách giống như gong cha thì mình ghé lần 2 ^^",641666,ngocminhnguyen1919,10.7062773,105.1194018,Toco Toco Coffee,3.2,lạc thần,0
437,"67 Lý Tự Trọng,Tp. Long Xuyên, An Giang","Cảm nhận sau 18 năm quay lại quán tính từ 21-12-2019.
Bán đến 35K. So với giá này các bạn có thể đến các quán ngon nổi tiếng ở hiện tại như Bính Phát Mì Gia, Long Tứ Mì Gia, A Tướng Quán xứng đáng hơn rất nhiều. Các quán nằm ở các đường*** Phạm Cừ Lượng,***.",19362,foodee_xmqw5wz8,10.380483,105.440439,Cơm Tấm Cây Điệp,3.2,Milo,0
442,"67 Lý Tự Trọng,Tp. Long Xuyên, An Giang","Ăn 1 lần rồi thôi. Ko bao giờ muốn đến 1 nơi phục vụ tệ đến như vậy. Vô ngồi bàn rồi đợi 1 hồi mới laị hỏi. Còn tính tiền thì kiu 2,3 lần luôn mới tính mà làm dọng thấy ghét, hỏi nhiêu tiền thì nói cộc lốc r thồi tiền thì đéo đưa mà thảy đại trên bàn đó. Làm như kiu tính tiền nhiều lần cái bực mình dằn mâm sán chén dị đó. Tởn.",19362,lmkhnhphng7120,10.380483,105.440439,Cơm Tấm Cây Điệp,1.4,Lâm Khánh Phụng,0
540,"Trần Hưng Đạo, Tổ 1, Khóm Bình Long 3, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Nằm ở vị trí đắc địa của tp nên mình nghĩ quán này khá độc quyền,  kiểu như k cần khách á.  Mình vào quán thấy bàn ghế k lau thì ân tượng đã k tốt rồi,  nv thì k nói gì quăng lên bàn tờ menu,  hỏi món gì cũng nói hôm nay k có mà thái độ cộc cằn.  Nhưng mình vẫn thấy vui vẻ cho tới khi bạn đó mang cho mình ly cà phê ngọt gắt mà trước đó mình có nhờ bạn bỏ ít sữa,  mình mới nhờ 1 bạn phục vụ khác cho mình xjn thêm ít cà phê,  mấy bạn phục vụ đó đùn đẩy nhau rồi kêu ly cà phê của ""2 đứa kia kìa, mày đem dô cho thêm cà phê đi, t hết***rồi kêu quài"". Mình với bạn mình kiểu đúng ngạc nhiên với thái độ đó luôn,  trong khi 2 đứa mình đg ngồi ngay đó. K thể chấp nhận dc,  1 lần và k bao h quay lại nữa.",295306,xunvinguyen,10.383556,105.437583,Marina Coffee,2.4,xunvinguyen,0
596,"Tỉnh Lộ 953, P. Long Phú,Thị xã Tân Châu, An Giang",Đồ ăn bình thường nhưng giá thì chặt chém. Kêu vịt trời nướng ra 1 dĩa có chút xíu tính gần 300k. Ăn 1 lần mãi mãi cả lũ bạn ko bao giờ quay lại. Quán bán đồ nhậu bill gần cả triệu mà xin thêm rau cà ăn kèm mà tính thêm $ 10k (độ 1 quả cà chua và ít rau). Nó nhỏ chẳng đáng bao nhiêu mà làm khách cảm thấy mất điểm.,867195,foodee_q0o35zf9,10.7827725,105.2353124999999,10 Nhàn - Quán Ăn Gia Đình,3.0,Vivian Ngo,0
666,"8 Lê Lợi, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Vừa lúc nãy luôn (khoảng 19h30 ngày 17/02/2018). Gửi xe vô quán, vô khu phòng lạnh, phục vụ qua lại liên tục mình kêu dọn bàn tổng cộng 3 bạn phục vụ và lơ hết. Chờ đến 5p vào hẳn cashier kêu dọn bàn L25 (cái bàn ghép lối vào bên phải) bạn đó dạ dạ và 10p sau không thấy ai đến dọn bàn luôn. Ok, không cần khách thì đi thôi. 1 năm về quê 1 lần mà vậy thì xin lỗi tôi sẽ viết review bất cứ chỗ nào có thể xem các bạn bao lâu thì bớt khách để thái độ BỚT CHẢNH.",311008,tutanhuy250296,10.7096455187926,105.1211903616786,Mario Yue Coffee,3.0,Bếu Bụng Bự,0
737,"22 Trần Nhật Duật,Tp. Long Xuyên, An Giang","Quán ăn cũng tạm, món canh thì ngọt. Chủ cũng ko mấy thân thiện khi khách gọi món ít. Quá phân biệt đối xử giữa khách Tây và khách Việt. Tóm lại ko hài lòng.",26750,lee_san_oc,10.378815,105.441821,Quế Phát - Quán Ăn Gia Đình,2.2,Sanh Hiên,0
781,"95/4 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Không biết chất lượng như thế nào, chỉ thấy thất vọng với cách và thái độ phục vụ. Mặc dù khi mình đến, quán đã hết đồ bán, nhưng mà cái thái độ trả lời nghe không lọt tai, như đuổi tà thực khách. Thất vọng....",26572,foodee_zqil6m3b,10.372821,105.44416,Cây Dừa - Lẩu Mắm & Cơm Bình Dân,1.0,foodee_zqil6m3b,0
783,"95/4 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Lẩu ăn thì được nhưng giá hơi đắt!  Quán thì nóng,  mấy mụ già nhân viên phục vụ mất lịch sự vô học thức bởi suốt đời chỉ làm những mụ nhân viên vì nhìn khách chỉ có nửa con mắt vô quán ăn làm như xin mấy con mụ Quán này chỉ có khách du lịch đồn thổi rồi tiếp nối theo mà ăn chứ cách phục vụ mất lịch sự !!!👎👎👎👎👎",26572,kopehuynh,10.372821,105.44416,Cây Dừa - Lẩu Mắm & Cơm Bình Dân,2.6,kopehuynh,0
852,"13/1 Châu Văn Liêm, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Nói khách quan thì về long xuyên muốn ăn sushi thì chỉ có quán này ăn ổn nhất. Nhưng ở thời điểm hiện tại cơ sở vật chất cũng tương đối cũ và xuống cấp so với trước, chủ không chăm chút nên quán có vẻ đi xuống so với trước. Về phục vụ và order là việc quán tệ nhất, rất hay có tình trạng khách vào sau được ăn trước và thời gian chế biến tương đối lâu. Lời khuyên là nếu bạn có thời gian rãnh và đủ kiên nhẫn thì nên ủng hộ quán. Còn không đủ kiên nhẫn đảm bảo bạn sẽ phát điên thôi. Như đã nói ở trên, thức ăn vẫn ngon. Còn mọi thứ khác thì rất không ổn!",212700,foodee_zkpo4y61,10.3865904711043,105.43635126203291,Kokoro Sushi,2.2,Thương Lê,0
874,"47 Tôn Đức Thắng, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Sáng nay đi mua bánh mì.
Mình mua 2 ổ chà bông,  giá 12k/ ổ (1 có ớt và 1 không ớt). Lúc cô bán làm xong bánh mình thấy cột chung 2 ổ có 1 sợi thun, mình mới hỏi cô bán:
Mình: Cô ơi, ổ nào có ớt ổ nào không vậy cô?
Cô bán tay quơ quơ 2 ổ bánh và gằn giọng nói: ""Nè thấy ớt không? Ổ có ớt lòi ra nè. Mày thấy chưa? Để mày KHỎI TRẢ TREO VỚI TAO.""
Mình ngớ người ra thì đẩy 2 ổ bánh ra nói tiếp 2 ổ bánh 25k.(2 ổ đó 24k chứ sao 25k hay bị tính tiền hỏi ớt) 

Mình là sẽ không bao giờ mua ở đây nữa.",693618,thanhtung88ag,10.3875715715775,105.4357390478253,Bánh Mì Thanh Lan - Tôn Đức Thắng,3.0,Tung Nguyen,0
882,"224 Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Hnay 29/4/2019. Gần lễ 30/4. Mình và gia đình 8 người tới quán lúc 7h tối, 10h quán đóng cửa. Chuyện sẽ chẳng có gì để nói nếu ko có tình trạng mới 7h tối mà ko fill đồ ăn cho khách. Nhân viên lên đồ ăn rất chậm, món có món ko, mặc dù  mới 7h tối, nhấn mạnh  là 7h tối. Giá buffet là 269 thuế vat là hơn 300k nhưng giá như lừa đảo. Giá nv mà ko có tôm, đồ ăn giống van xin từng chút từng đỉnh, kiu bao nhiêu, bưng bao nhiêu khách đợi ăn giá buffet 8ng cũng hơn 2 triệu mà giống như bếp ko ý thức được lượt khách mà vừa làm vừa chơi để kéo dài thời gian đợi r chán. Trong thời gian chán và chờ đợi thức ăn trong vô vọng,  khách có thể ngồi viết report như thế này :)))) . Còn những món ăn vặt nhẹ ở sẵn trên line thì cạn kiệt everytime :)))",276557,foodee_zebd33m6,10.384734,105.436731,Grill & Cheer - Buffet Nướng & Lẩu Hàn - Nhật,1.8,lam lê thi that,0
925,"20 - 22 Nguyễn Thị Minh Khai, P. Mỹ Long,Tp. Long Xuyên, An Giang","Quán được cái rộng và thoáng. Tuy nhiên đánh giá về chất lượng và cách phục vụ thì xin thua. Bánh cuốn tôm thì bở, cơm lại sống. Phục vụ lại chậm. Chất lượng thấp. Giá thành lại cao 😞😞😞😞😞",987604,foodee_ng640omj,10.380953,105.441859,Nhà Hàng Dimsum Nam Đào Viên,3.0,An Nhiên Nguyễn,0
949,"Trưng Nữ Vương, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Quán ăn quá mắc và dở, kêu bò bóp thấu mà đem ra món ăn giống bò xào, quá mặn và dở.
Lẩu thì 300k chỉ có 1 khoanh cá, vài con nghêu, vài con mực. 
Tóm lại mình thấy ko xứng đáng với giá tiền mình bỏ ra so với các quán khác ở châu đốc. Sẽ ko bao giờ ghé lại lần 2",262743,pinkdreampi,10.705156,105.116261,Làng Chài 6 - Hải Sản Bình Dân,1.0,Tien Le,0
970,"Hồ Nguyễn Du,Tp. Long Xuyên, An Giang","Quán ra món chậm, món ăn thì nhiều nhưng dở, lạt lẽo so với những quán bán món Hàn Quốc khác. Không gian chật hẹp,ngồi không thoải mái. Nhân viên và chủ quán thì xin một nụ cười chắc cũng hiếm..cứ như mình vào xin họ cho ăn. Có lần bạn mình vào gọi món mì gì đó,mà dở wá chỉ ăn 1 đũa là bỏ cả tô.",162533,0971159089,10.3908733,105.4371032,Cỏ 3 Lá - Hồ Nguyễn Du,1.0,Candies ,0
985,"Đối Diện Nhà Thờ, Nguyễn Huệ,Tp. Long Xuyên, An Giang","Chưa bao giờ ăn shashimi o đâu giở mà lại mắc như ở đây. Cá củ đông lạnh, hôi và mất vị ngọt của cá. Ăn cá mà như đang ăn đá bào. Giá 200k cho 1 phân vậy là qúa mắc.",163844,nguynkimchu6373,10.381058985512698,105.4402414709329,Dream Catcher - Món Nhật,1.0,Châu Nguyễn,0
990,"Đối Diện Nhà Thờ, Nguyễn Huệ,Tp. Long Xuyên, An Giang","Cảm nhận:
-Sashimi: thịt bủn bủn như cá mua từ Metro mang về để qua ngày, và lát cá rất mỏng.
-Sushi cuộn: đồ ăn rất ít, cơm là nhiều.
-Mì Cay: tô mì được vài con tôm, giá vẫn cắt cổ.
Giá cả còn mắc hơn cả the sushi bar ( quán giá khá bình dân) tại Sài Gòn nhưng chất lượng món ăn có thể chỉ đạt 40%. 
Ngoại trừ giá cả và chất lượng món ăn, mọi thứ còn lại thì ok !",163844,thanhngoc3881,10.381058985512698,105.4402414709329,Dream Catcher - Món Nhật,3.2,Thanh Ngoc,0
996,"Đối Diện Nhà Thờ, Nguyễn Huệ,Tp. Long Xuyên, An Giang","Không gian nhìn hơi chật, ko thoáng. Mì quá mắc, ít mì, chỉ có 1 con tôm nhỏ, 1 miếng mực to bằng đầu ngón tay cái, 1 cục cá chả, vài cọng rau cải thôi . ở SG 35k mà cả 1 to đầy thịt. Nhân viên phục vụ thiếu lễ độ, có tí tuổi mà khách kiu nhầm xíu đã lắc đầu, chắc lưỡi tỏ ra khó chịu.",163844,0971159089,10.381058985512698,105.4402414709329,Dream Catcher - Món Nhật,2.2,Candies ,0
1013,"Tầng 4, Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang",Nhân viên gặp khách phục vụ kiểu bất cần! Có năn nỉ cũng không vào nữa! Bên GoGi nhân viên tuyệt vời. Túm lại đừng lại KingBBQ ăn! Mang tức ăn mất ngon,253292,foodee_b4wj9nr0,10.383676,105.437283,King BBQ - Vincom Long Xuyên,2.2,Tuan Anh,0
1015,"Tầng 4, Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Không hiểu nổi làm ăn kiểu gì khách đến báo hết thịt... kêu đợi k biết khi nào có thịt, khi nào có thì mới mở mà mọi khi đi ăn giờ nào cũng có. Mấy bạn nhân viên ở đây thấy nhóm mình đi đông hay sao kêu nếu có mở của chỉ phục vụ gía 272k 
Đùa à??? Làm ăn chán",253292,kimanh2072,10.383676,105.437283,King BBQ - Vincom Long Xuyên,2.0,Anh Ka,0
1021,"Tầng 4, Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Các bạn suy nghĩ kỹ nhé nếu đi 4 người thì các bạn để dành 800k vào các quán khác kêu những món tùy thích, mình vào đây rồi, thấy ko hợp khẩu vị cho lắm",253292,michelcuong,10.383676,105.437283,King BBQ - Vincom Long Xuyên,3.0,Cường Huỳnh,0
1030,"46 Trưng Nữ Vương, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Quán ăn tạm được. Giá cả hơi cao so với mặc bằng chung. Công ty xí nghiệp ko nên ghé quán vì quán k có hoá đơn đỏ.  Khong k đồng tình với cách trả lời của chủ quán là từ chối k xuất hoá đơn giá trị gia tăng. Như vậy khác nào hành vị phạm pháp luật, trốn thuế. Ko bao giờ ghé lại lần 2.",50159,huiruoqi1995,10.706378,105.118227,Quán Cơm Bảy Bồng 2 - Trưng Nữ Vương,1.0,Jimmy Lee,0
1034,"46 Trưng Nữ Vương, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Thấy trên mạng có 1 số bài viết giới thiệu quán khác tốt nên đoàn mình ghé vào ăn. Tuy nhiên đến rồi ra về mang theo 1 cục tức to đùng. Đồ ăn lên quá chậm, phục vụ không nhiệt tình, món ăn cũng không ngon. Khi góp ý rất lịch sự nhẹ nhàng về việc phục vụ và lên đồ ăn chậm thì cả quản lý và người phục vụ đứng đấy chỉ biết nhìn mình sau đó quay đi, không 1 câu thông cảm, không 1 lời xin lỗi.
Có lẽ cần tỉnh táo hơn với các bài viết quảng cáo được tra cứu trên google. Trên foody là tương tác trực tiếp nên mình đăng lên đây để mọi người có thêm thông tin. Không bao giờ quay lai 1 quán như vậy nữa !!!",50159,bichbini,10.706378,105.118227,Quán Cơm Bảy Bồng 2 - Trưng Nữ Vương,1.6,Nguyen Bich,0
